Site,Score,LoadTime,H1,H2,WordCount,Images,Title,Description,Viewport,Canonical,OG,Schema
Site 1,100,3597,1,3,710,0,70,109,Y,Y,Y,Y
Site 2,78,3624,1,2,37,1,16,0,Y,N,N,N
